State,District,Year,Quarter,Total_transaction,Transaction_amount
Dadra and Nagar Haveli and Daman and Diu,dadra and nagar haveli district,2018,Q1 (Jan - Mar),92738,105807098
Delhi,south district,2018,Q1 (Jan - Mar),334361,597143870
Delhi,central district,2018,Q1 (Jan - Mar),2997714,4312145216
Delhi,new delhi district,2018,Q1 (Jan - Mar),883737,1478916789
Delhi,west district,2018,Q1 (Jan - Mar),545129,966855137
Delhi,south west district,2018,Q1 (Jan - Mar),318199,555900155
Delhi,south east delhi district,2018,Q1 (Jan - Mar),562694,929543692
Delhi,shahdara district,2018,Q1 (Jan - Mar),193886,326458215
Delhi,north east district,2018,Q1 (Jan - Mar),180160,261468886
Delhi,east district,2018,Q1 (Jan - Mar),357904,594248348
Delhi,north west district,2018,Q1 (Jan - Mar),387431,614242861
Delhi,north district,2018,Q1 (Jan - Mar),361539,574580634
Goa,north goa district,2018,Q1 (Jan - Mar),95114,187108291
Goa,south goa district,2018,Q1 (Jan - Mar),65783,116748450
Gujarat,anand district,2018,Q1 (Jan - Mar),166658,181858557
Gujarat,jamnagar district,2018,Q1 (Jan - Mar),121341,166162325
Gujarat,devbhumi dwarka district,2018,Q1 (Jan - Mar),30538,38615229
Gujarat,rajkot district,2018,Q1 (Jan - Mar),219190,296803513
Gujarat,aravallis district,2018,Q1 (Jan - Mar),55016,41323327
Gujarat,chhotaudepur district,2018,Q1 (Jan - Mar),12962,13597431
Gujarat,botad district,2018,Q1 (Jan - Mar),50541,30496629
Gujarat,bharuch district,2018,Q1 (Jan - Mar),210073,249246117
Gujarat,bhavnagar district,2018,Q1 (Jan - Mar),182948,171495425
Gujarat,junagadh district,2018,Q1 (Jan - Mar),56897,69940293
Gujarat,mahesana district,2018,Q1 (Jan - Mar),227748,213031001
Gujarat,the dangs district,2018,Q1 (Jan - Mar),5441,4783138
Gujarat,kheda district,2018,Q1 (Jan - Mar),104154,94652160
Gujarat,surat district,2018,Q1 (Jan - Mar),983723,1346833710
Gujarat,porbandar district,2018,Q1 (Jan - Mar),16381,28254689
Gujarat,gandhinagar district,2018,Q1 (Jan - Mar),237393,318002413
Gujarat,panch mahals district,2018,Q1 (Jan - Mar),86317,65556534
Gujarat,narmada district,2018,Q1 (Jan - Mar),13920,15120948
Gujarat,gir somnath district,2018,Q1 (Jan - Mar),49292,50970540
Gujarat,valsad district,2018,Q1 (Jan - Mar),168659,191337866
Gujarat,mahisagar district,2018,Q1 (Jan - Mar),25888,24228879
Gujarat,sabar kantha district,2018,Q1 (Jan - Mar),105266,88114407
Gujarat,tapi district,2018,Q1 (Jan - Mar),29217,30555640
Gujarat,vadodara district,2018,Q1 (Jan - Mar),387998,604645570
Gujarat,banas kantha district,2018,Q1 (Jan - Mar),237457,197883270
Gujarat,amreli district,2018,Q1 (Jan - Mar),66032,75032118
Gujarat,ahmadabad district,2018,Q1 (Jan - Mar),1436152,2153123692
Gujarat,dohad district,2018,Q1 (Jan - Mar),39278,45587112
Gujarat,navsari district,2018,Q1 (Jan - Mar),159975,229707588
Gujarat,patan district,2018,Q1 (Jan - Mar),105705,81974812
Gujarat,kachchh district,2018,Q1 (Jan - Mar),217912,316933354
Gujarat,surendranagar district,2018,Q1 (Jan - Mar),80486,71735564
Gujarat,morbi district,2018,Q1 (Jan - Mar),58217,70378385
Haryana,yamunanagar district,2018,Q1 (Jan - Mar),102917,125333909
Haryana,sonipat district,2018,Q1 (Jan - Mar),178766,279804665
Haryana,jind district,2018,Q1 (Jan - Mar),117357,186842136
Haryana,rohtak district,2018,Q1 (Jan - Mar),121728,215207976
Haryana,faridabad district,2018,Q1 (Jan - Mar),521939,772738359
Haryana,mahendragarh district,2018,Q1 (Jan - Mar),89413,119624307
Haryana,hisar district,2018,Q1 (Jan - Mar),240517,355732765
Haryana,karnal district,2018,Q1 (Jan - Mar),169313,247718779
Haryana,fatehabad district,2018,Q1 (Jan - Mar),116455,105677674
Haryana,palwal district,2018,Q1 (Jan - Mar),97942,145340107
Haryana,charkhi dadri district,2018,Q1 (Jan - Mar),32910,49515979
Haryana,ambala district,2018,Q1 (Jan - Mar),119503,189250271
Haryana,rewari district,2018,Q1 (Jan - Mar),199418,280095218
Haryana,panchkula district,2018,Q1 (Jan - Mar),86298,142847688
Haryana,bhiwani district,2018,Q1 (Jan - Mar),125150,190361119
Haryana,sirsa district,2018,Q1 (Jan - Mar),164867,164313975
Haryana,mewat district,2018,Q1 (Jan - Mar),80255,132978792
Haryana,panipat district,2018,Q1 (Jan - Mar),183960,263054774
Haryana,gurugram district,2018,Q1 (Jan - Mar),1408070,2317083393
Haryana,kaithal district,2018,Q1 (Jan - Mar),98466,149686426
Haryana,kurukshetra district,2018,Q1 (Jan - Mar),110204,172343157
Haryana,jhajjar district,2018,Q1 (Jan - Mar),115322,187960033
Himachal Pradesh,solan district,2018,Q1 (Jan - Mar),118881,146873607
Himachal Pradesh,sirmaur district,2018,Q1 (Jan - Mar),37721,43579534
Himachal Pradesh,shimla district,2018,Q1 (Jan - Mar),54161,84375526
Himachal Pradesh,bilaspur district,2018,Q1 (Jan - Mar),21880,20215586
Himachal Pradesh,hamirpur district,2018,Q1 (Jan - Mar),32709,37506250
Himachal Pradesh,una district,2018,Q1 (Jan - Mar),39070,48375221
Himachal Pradesh,kangra district,2018,Q1 (Jan - Mar),62061,83269925
Himachal Pradesh,kullu district,2018,Q1 (Jan - Mar),23978,36599342
Himachal Pradesh,mandi district,2018,Q1 (Jan - Mar),44169,50308276
Himachal Pradesh,lahul and spiti district,2018,Q1 (Jan - Mar),335,441404
Himachal Pradesh,chamba district,2018,Q1 (Jan - Mar),41138,69091183
Himachal Pradesh,kinnaur district,2018,Q1 (Jan - Mar),5815,8101945
Jammu & Kashmir,muzaffarabad district,2018,Q1 (Jan - Mar),13,14559
Jammu & Kashmir,doda district,2018,Q1 (Jan - Mar),4108,7065930
Jammu & Kashmir,samba district,2018,Q1 (Jan - Mar),14795,21534891
Jammu & Kashmir,mirpur district,2018,Q1 (Jan - Mar),1320,3052181
Jammu & Kashmir,srinagar district,2018,Q1 (Jan - Mar),47285,62676256
Jammu & Kashmir,baramulla district,2018,Q1 (Jan - Mar),83775,44215018
Jammu & Kashmir,jammu district,2018,Q1 (Jan - Mar),81381,127452979
Jammu & Kashmir,ganderbal district,2018,Q1 (Jan - Mar),20571,9107649
Jammu & Kashmir,udhampur district,2018,Q1 (Jan - Mar),17620,31451872
Jammu & Kashmir,bandipore district,2018,Q1 (Jan - Mar),38208,11885513
Jammu & Kashmir,reasi district,2018,Q1 (Jan - Mar),7433,12816155
Jammu & Kashmir,shopian district,2018,Q1 (Jan - Mar),5083,3598498
Jammu & Kashmir,poonch district,2018,Q1 (Jan - Mar),398963,509120439
Jammu & Kashmir,kathua district,2018,Q1 (Jan - Mar),17643,22353839
Jammu & Kashmir,kishtwar district,2018,Q1 (Jan - Mar),2054,3514299
Jammu & Kashmir,pulwama district,2018,Q1 (Jan - Mar),35793,24777476
Jammu & Kashmir,ramban district,2018,Q1 (Jan - Mar),5326,7284248
Jammu & Kashmir,rajouri district,2018,Q1 (Jan - Mar),10199,16045672
Jammu & Kashmir,kulgam district,2018,Q1 (Jan - Mar),23587,9213671
Jammu & Kashmir,budgam district,2018,Q1 (Jan - Mar),50748,36218453
Jammu & Kashmir,anantnag district,2018,Q1 (Jan - Mar),64478,24885721
Jammu & Kashmir,kupwara district,2018,Q1 (Jan - Mar),11185,17085910
Jharkhand,ramgarh district,2018,Q1 (Jan - Mar),97459,85844869
Jharkhand,ranchi district,2018,Q1 (Jan - Mar),356622,434234048
Jharkhand,east singhbhum district,2018,Q1 (Jan - Mar),220276,257229540
Jharkhand,jamtara district,2018,Q1 (Jan - Mar),21925,37530176
Jharkhand,dumka district,2018,Q1 (Jan - Mar),37867,33366389
Jharkhand,koderma district,2018,Q1 (Jan - Mar),58922,76001334
Jharkhand,hazaribagh district,2018,Q1 (Jan - Mar),150709,171297280
Jharkhand,simdega district,2018,Q1 (Jan - Mar),6739,9328083
Jharkhand,garhwa district,2018,Q1 (Jan - Mar),47858,105426064
Jharkhand,saraikela kharsawan district,2018,Q1 (Jan - Mar),83449,74573902
Jharkhand,gumla district,2018,Q1 (Jan - Mar),12079,15422722
Jharkhand,chatra district,2018,Q1 (Jan - Mar),28364,48808252
Jharkhand,khunti district,2018,Q1 (Jan - Mar),10377,12238451
Jharkhand,dhanbad district,2018,Q1 (Jan - Mar),340878,271973005
Jharkhand,godda district,2018,Q1 (Jan - Mar),36994,36033979
Jharkhand,deoghar district,2018,Q1 (Jan - Mar),70058,91100585
Jharkhand,palamu district,2018,Q1 (Jan - Mar),84608,128141542
Jharkhand,latehar district,2018,Q1 (Jan - Mar),20416,35121829
Jharkhand,west singhbhum district,2018,Q1 (Jan - Mar),34197,38008802
Jharkhand,pakur district,2018,Q1 (Jan - Mar),17321,10639883
Jharkhand,lohardaga district,2018,Q1 (Jan - Mar),15716,16349311
Jharkhand,sahebganj district,2018,Q1 (Jan - Mar),30741,44038697
Jharkhand,giridih district,2018,Q1 (Jan - Mar),131905,131409945
Jharkhand,bokaro district,2018,Q1 (Jan - Mar),263441,210067688
Karnataka,mysuru district,2018,Q1 (Jan - Mar),331051,515455840
Karnataka,chitradurga district,2018,Q1 (Jan - Mar),86333,121914949
Karnataka,kalaburagi district,2018,Q1 (Jan - Mar),152325,212180924
Karnataka,ramanagara district,2018,Q1 (Jan - Mar),124329,195057353
Karnataka,mandya district,2018,Q1 (Jan - Mar),105447,141585191
Karnataka,kodagu district,2018,Q1 (Jan - Mar),23443,42386913
Karnataka,chikkamagaluru district,2018,Q1 (Jan - Mar),56698,79877643
Karnataka,haveri district,2018,Q1 (Jan - Mar),62962,73634849
Karnataka,ballari district,2018,Q1 (Jan - Mar),218492,317208290
Karnataka,belagavi district,2018,Q1 (Jan - Mar),265382,286997207
Karnataka,kolar district,2018,Q1 (Jan - Mar),133622,167783200
Karnataka,uttara kannada district,2018,Q1 (Jan - Mar),84133,106664202
Karnataka,tumakuru district,2018,Q1 (Jan - Mar),177987,260985866
Karnataka,yadgir district,2018,Q1 (Jan - Mar),44863,77395671
Karnataka,bengaluru urban district,2018,Q1 (Jan - Mar),8306513,14162750303
Karnataka,chikkaballapura district,2018,Q1 (Jan - Mar),114026,164073011
Karnataka,davanagere district,2018,Q1 (Jan - Mar),137819,169137586
Karnataka,bagalkote district,2018,Q1 (Jan - Mar),137750,130764471
Karnataka,vijayapura district,2018,Q1 (Jan - Mar),140665,175198952
Karnataka,koppal district,2018,Q1 (Jan - Mar),63835,79650000
Karnataka,bidar district,2018,Q1 (Jan - Mar),148528,219204065
Karnataka,bengaluru rural district,2018,Q1 (Jan - Mar),187325,307037188
Karnataka,raichur district,2018,Q1 (Jan - Mar),131182,181240414
Karnataka,chamarajanagara district,2018,Q1 (Jan - Mar),32011,35620369
Karnataka,dakshina kannada district,2018,Q1 (Jan - Mar),185407,270072282
Karnataka,hassan district,2018,Q1 (Jan - Mar),88635,134541685
Karnataka,dharwad district,2018,Q1 (Jan - Mar),204568,231336487
Karnataka,shivamogga district,2018,Q1 (Jan - Mar),110195,155561860
Karnataka,udupi district,2018,Q1 (Jan - Mar),102236,144516000
Karnataka,gadag district,2018,Q1 (Jan - Mar),59137,58062529
Kerala,thiruvananthapuram district,2018,Q1 (Jan - Mar),172079,275202215
Kerala,kasaragod district,2018,Q1 (Jan - Mar),37597,46522871
