State,Year,Quarter,Transaction_type,Total_transaction,Transaction_amount
Odisha,2018,Q1 (Jan - Mar),Recharge & bill payments,2874109,331254466
Odisha,2018,Q1 (Jan - Mar),Peer-to-peer payments,2305610,4033548999
Odisha,2018,Q1 (Jan - Mar),Financial Services,323352,58099674
Odisha,2018,Q1 (Jan - Mar),Merchant payments,129659,112301341
Odisha,2018,Q1 (Jan - Mar),Others,177091,92427728
Puducherry,2018,Q1 (Jan - Mar),Recharge & bill payments,53125,9704752
Puducherry,2018,Q1 (Jan - Mar),Peer-to-peer payments,40303,147834476
Puducherry,2018,Q1 (Jan - Mar),Merchant payments,4163,4427034
Puducherry,2018,Q1 (Jan - Mar),Financial Services,2086,565799
Puducherry,2018,Q1 (Jan - Mar),Others,4535,3293909
Punjab,2018,Q1 (Jan - Mar),Recharge & bill payments,946338,196018621
Punjab,2018,Q1 (Jan - Mar),Peer-to-peer payments,690684,2412434633
Punjab,2018,Q1 (Jan - Mar),Merchant payments,87477,83873893
Punjab,2018,Q1 (Jan - Mar),Financial Services,60688,11162488
Punjab,2018,Q1 (Jan - Mar),Others,85246,77268587
Rajasthan,2018,Q1 (Jan - Mar),Recharge & bill payments,4305940,868358581
Rajasthan,2018,Q1 (Jan - Mar),Peer-to-peer payments,2540658,7547652852
Rajasthan,2018,Q1 (Jan - Mar),Financial Services,202537,37125466
Rajasthan,2018,Q1 (Jan - Mar),Merchant payments,184127,201212697
Rajasthan,2018,Q1 (Jan - Mar),Others,358428,271943533
Sikkim,2018,Q1 (Jan - Mar),Recharge & bill payments,26965,4823943
Sikkim,2018,Q1 (Jan - Mar),Peer-to-peer payments,13559,56334584
Sikkim,2018,Q1 (Jan - Mar),Merchant payments,1349,1677583
Sikkim,2018,Q1 (Jan - Mar),Financial Services,608,86906
Sikkim,2018,Q1 (Jan - Mar),Others,1597,1727920
Tamil Nadu,2018,Q1 (Jan - Mar),Recharge & bill payments,3308548,646028338
Tamil Nadu,2018,Q1 (Jan - Mar),Peer-to-peer payments,2670613,10031518934
Tamil Nadu,2018,Q1 (Jan - Mar),Merchant payments,326510,272002057
Tamil Nadu,2018,Q1 (Jan - Mar),Financial Services,115363,31876073
Tamil Nadu,2018,Q1 (Jan - Mar),Others,305588,280132294
Telangana,2018,Q1 (Jan - Mar),Recharge & bill payments,4209319,831912767
Telangana,2018,Q1 (Jan - Mar),Peer-to-peer payments,3307245,11748268950
Telangana,2018,Q1 (Jan - Mar),Merchant payments,351474,282899066
Telangana,2018,Q1 (Jan - Mar),Financial Services,262876,57011875
Telangana,2018,Q1 (Jan - Mar),Others,391852,388111458
Tripura,2018,Q1 (Jan - Mar),Recharge & bill payments,86819,14079439
Tripura,2018,Q1 (Jan - Mar),Peer-to-peer payments,44844,112229994
Tripura,2018,Q1 (Jan - Mar),Financial Services,4842,672247
Tripura,2018,Q1 (Jan - Mar),Merchant payments,4833,6080959
Tripura,2018,Q1 (Jan - Mar),Others,6819,4916272
Uttar Pradesh,2018,Q1 (Jan - Mar),Recharge & bill payments,7003704,1201827543
Uttar Pradesh,2018,Q1 (Jan - Mar),Peer-to-peer payments,4123625,11786969148
Uttar Pradesh,2018,Q1 (Jan - Mar),Merchant payments,442436,428301434
Uttar Pradesh,2018,Q1 (Jan - Mar),Financial Services,397328,75150444
Uttar Pradesh,2018,Q1 (Jan - Mar),Others,570712,447722351
