State,District,Year,Quarter,Total_transaction,Transaction_amount
Uttarakhand,pauri garhwal,2018,Q1 (Jan - Mar),49412,58626307
Uttarakhand,tehri garhwal,2018,Q1 (Jan - Mar),28306,41280388
Uttarakhand,almora,2018,Q1 (Jan - Mar),26086,24966386
Uttarakhand,pithoragarh,2018,Q1 (Jan - Mar),18593,19129399
Uttarakhand,chamoli,2018,Q1 (Jan - Mar),15936,19931685
Uttarakhand,uttarkashi,2018,Q1 (Jan - Mar),12342,15898878
West Bengal,birbhum,2018,Q1 (Jan - Mar),2125816,2520486412
West Bengal,kolkata,2018,Q1 (Jan - Mar),2043129,2753347660
West Bengal,north twenty four parganas,2018,Q1 (Jan - Mar),1235602,1282978629
West Bengal,murshidabad,2018,Q1 (Jan - Mar),833479,421068895
West Bengal,nadia,2018,Q1 (Jan - Mar),549427,307840167
West Bengal,purba medinipur,2018,Q1 (Jan - Mar),516243,380534345
West Bengal,maldah,2018,Q1 (Jan - Mar),491756,283624702
West Bengal,south twenty four parganas,2018,Q1 (Jan - Mar),421793,349206351
West Bengal,paschim medinipur,2018,Q1 (Jan - Mar),419331,286483484
West Bengal,purba bardhaman,2018,Q1 (Jan - Mar),396998,212356023
Andaman & Nicobar,south andaman,2018,Q2 (Apr - Jun),9395,23948235
Andaman & Nicobar,nicobars,2018,Q2 (Apr - Jun),1120,3072436
Andaman & Nicobar,north and middle andaman,2018,Q2 (Apr - Jun),825,1317863
Andhra Pradesh,visakhapatnam,2018,Q2 (Apr - Jun),1641192,2987853607
Andhra Pradesh,krishna,2018,Q2 (Apr - Jun),1224987,2448141593
Andhra Pradesh,east godavari,2018,Q2 (Apr - Jun),1221677,2168914928
Andhra Pradesh,chittoor,2018,Q2 (Apr - Jun),1185723,1990419125
Andhra Pradesh,guntur,2018,Q2 (Apr - Jun),1088101,2108475811
Andhra Pradesh,kurnool,2018,Q2 (Apr - Jun),968439,1531888665
Andhra Pradesh,anantapur,2018,Q2 (Apr - Jun),937023,1690366079
Andhra Pradesh,west godavari,2018,Q2 (Apr - Jun),786033,1688025212
Andhra Pradesh,spsr nellore,2018,Q2 (Apr - Jun),780454,1542057934
Andhra Pradesh,prakasam,2018,Q2 (Apr - Jun),739991,1571167562
Arunachal Pradesh,papum pare,2018,Q2 (Apr - Jun),25363,66520931
Arunachal Pradesh,west kameng,2018,Q2 (Apr - Jun),10466,25521321
Arunachal Pradesh,lohit,2018,Q2 (Apr - Jun),6962,20520618
Arunachal Pradesh,east siang,2018,Q2 (Apr - Jun),6363,15285584
Arunachal Pradesh,changlang,2018,Q2 (Apr - Jun),6066,13294258
Arunachal Pradesh,tawang,2018,Q2 (Apr - Jun),5447,13722374
Arunachal Pradesh,longding,2018,Q2 (Apr - Jun),4634,10271170
Arunachal Pradesh,namsai,2018,Q2 (Apr - Jun),3230,6271811
Arunachal Pradesh,west siang,2018,Q2 (Apr - Jun),2579,7610989
Arunachal Pradesh,lower siang,2018,Q2 (Apr - Jun),2292,2179451
Assam,kamrup metropolitan,2018,Q2 (Apr - Jun),320417,548619364
Assam,marigaon,2018,Q2 (Apr - Jun),109223,204057284
Assam,nagaon,2018,Q2 (Apr - Jun),105834,129818644
Assam,barpeta,2018,Q2 (Apr - Jun),102217,117541108
Assam,cachar,2018,Q2 (Apr - Jun),83921,105147622
Assam,sonitpur,2018,Q2 (Apr - Jun),82799,151230715
Assam,kamrup,2018,Q2 (Apr - Jun),74537,83338163
Assam,dibrugarh,2018,Q2 (Apr - Jun),70642,110954951
Assam,tinsukia,2018,Q2 (Apr - Jun),66715,102921465
Assam,jorhat,2018,Q2 (Apr - Jun),53341,70634515
Bihar,patna,2018,Q2 (Apr - Jun),1650942,2328839155
Bihar,muzaffarpur,2018,Q2 (Apr - Jun),554675,841276317
Bihar,purbi champaran,2018,Q2 (Apr - Jun),373033,650452550
Bihar,gaya,2018,Q2 (Apr - Jun),324390,438042055
Bihar,darbhanga,2018,Q2 (Apr - Jun),322140,569573309
Bihar,samastipur,2018,Q2 (Apr - Jun),316985,502582636
Bihar,vaishali,2018,Q2 (Apr - Jun),316405,471071129
Bihar,nalanda,2018,Q2 (Apr - Jun),306468,368156034
Bihar,pashchim champaran,2018,Q2 (Apr - Jun),305553,542379988
Bihar,madhubani,2018,Q2 (Apr - Jun),286112,554829469
Chandigarh,chandigarh,2018,Q2 (Apr - Jun),479084,961223261
Chhattisgarh,raipur,2018,Q2 (Apr - Jun),470127,841704574
Chhattisgarh,janjgir champa,2018,Q2 (Apr - Jun),402022,565626317
Chhattisgarh,durg,2018,Q2 (Apr - Jun),302345,466514532
Chhattisgarh,bilaspur,2018,Q2 (Apr - Jun),227499,324449553
Chhattisgarh,raigarh,2018,Q2 (Apr - Jun),190903,269228922
Chhattisgarh,korba,2018,Q2 (Apr - Jun),138391,211036250
Chhattisgarh,rajnandgaon,2018,Q2 (Apr - Jun),118132,152826147
Chhattisgarh,surguja,2018,Q2 (Apr - Jun),94260,156057826
Chhattisgarh,mahasamund,2018,Q2 (Apr - Jun),93218,124507011
Chhattisgarh,baloda bazar,2018,Q2 (Apr - Jun),92920,133808358
Dadra and Nagar Haveli and Daman and Diu,dadra and nagar haveli,2018,Q2 (Apr - Jun),128642,186926842
Dadra and Nagar Haveli and Daman and Diu,daman,2018,Q2 (Apr - Jun),67705,104407321
Dadra and Nagar Haveli and Daman and Diu,diu,2018,Q2 (Apr - Jun),6279,10736607
Delhi,central delhi,2018,Q2 (Apr - Jun),3589206,6223466821
Delhi,new delhi,2018,Q2 (Apr - Jun),1177251,2387389846
Delhi,west,2018,Q2 (Apr - Jun),785457,1588935316
Delhi,south east delhi,2018,Q2 (Apr - Jun),767547,1466216713
Delhi,north west,2018,Q2 (Apr - Jun),575888,1041767876
Delhi,north,2018,Q2 (Apr - Jun),517958,975252185
Delhi,south,2018,Q2 (Apr - Jun),513003,979271408
Delhi,east,2018,Q2 (Apr - Jun),504193,925784169
Delhi,south west,2018,Q2 (Apr - Jun),440508,903268239
Delhi,shahdara,2018,Q2 (Apr - Jun),272663,533105673
Goa,north goa,2018,Q2 (Apr - Jun),133429,290814882
Goa,south goa,2018,Q2 (Apr - Jun),96146,187788942
Gujarat,ahmadabad,2018,Q2 (Apr - Jun),1809774,3307127930
Gujarat,surat,2018,Q2 (Apr - Jun),1310963,2189526110
Gujarat,vadodara,2018,Q2 (Apr - Jun),528893,975136493
Gujarat,gandhinagar,2018,Q2 (Apr - Jun),315542,522133969
Gujarat,banas kantha,2018,Q2 (Apr - Jun),307928,362168353
Gujarat,bharuch,2018,Q2 (Apr - Jun),289862,428830769
Gujarat,kachchh,2018,Q2 (Apr - Jun),287874,494142161
Gujarat,mahesana,2018,Q2 (Apr - Jun),286014,362586915
Gujarat,rajkot,2018,Q2 (Apr - Jun),283913,465751106
Gujarat,bhavnagar,2018,Q2 (Apr - Jun),253332,265850891
Haryana,gurugram,2018,Q2 (Apr - Jun),1893511,3604758914
Haryana,faridabad,2018,Q2 (Apr - Jun),698865,1211325239
Haryana,hisar,2018,Q2 (Apr - Jun),320500,627894549
Haryana,panipat,2018,Q2 (Apr - Jun),265754,440169913
Haryana,rewari,2018,Q2 (Apr - Jun),263194,453157049
Haryana,sonipat,2018,Q2 (Apr - Jun),253130,475518495
Haryana,sirsa,2018,Q2 (Apr - Jun),234948,288080253
Haryana,karnal,2018,Q2 (Apr - Jun),224254,430353501
Haryana,ambala,2018,Q2 (Apr - Jun),180500,352994750
Haryana,rohtak,2018,Q2 (Apr - Jun),179677,372787270
Himachal Pradesh,solan,2018,Q2 (Apr - Jun),166516,254576422
Himachal Pradesh,kangra,2018,Q2 (Apr - Jun),97426,172859755
Himachal Pradesh,shimla,2018,Q2 (Apr - Jun),82195,162202102
Himachal Pradesh,mandi,2018,Q2 (Apr - Jun),58415,85994890
Himachal Pradesh,chamba,2018,Q2 (Apr - Jun),55922,125825520
