State,Year,Quarter,Register,App_opened
Tripura,2019,Q1 (Jan - Mar),183254,0
Uttar Pradesh,2019,Q1 (Jan - Mar),12458661,0
Uttarakhand,2019,Q1 (Jan - Mar),1224955,0
West Bengal,2019,Q1 (Jan - Mar),7449425,0
Andaman & Nicobar,2019,Q2 (Apr - Jun),21731,52640
Andhra Pradesh,2019,Q2 (Apr - Jun),9389003,81375251
Arunachal Pradesh,2019,Q2 (Apr - Jun),95885,502873
Assam,2019,Q2 (Apr - Jun),1500128,7350326
Bihar,2019,Q2 (Apr - Jun),6589759,39607022
Chandigarh,2019,Q2 (Apr - Jun),240439,1220176
Chhattisgarh,2019,Q2 (Apr - Jun),2191066,13206373
Dadra and Nagar Haveli and Daman and Diu,2019,Q2 (Apr - Jun),158580,860686
Delhi,2019,Q2 (Apr - Jun),6165448,43731570
Goa,2019,Q2 (Apr - Jun),278940,1352232
Gujarat,2019,Q2 (Apr - Jun),7574645,34890301
Haryana,2019,Q2 (Apr - Jun),5178030,31929195
Himachal Pradesh,2019,Q2 (Apr - Jun),772603,3321711
Jammu & Kashmir,2019,Q2 (Apr - Jun),631193,2705373
Jharkhand,2019,Q2 (Apr - Jun),2604854,14929066
Karnataka,2019,Q2 (Apr - Jun),11968087,113024811
Kerala,2019,Q2 (Apr - Jun),2550167,8673220
Ladakh,2019,Q2 (Apr - Jun),35516,157317
Lakshadweep,2019,Q2 (Apr - Jun),1747,4580
Madhya Pradesh,2019,Q2 (Apr - Jun),7301172,50642151
Maharashtra,2019,Q2 (Apr - Jun),18776975,109967705
Manipur,2019,Q2 (Apr - Jun),117747,464829
Meghalaya,2019,Q2 (Apr - Jun),74746,395764
Mizoram,2019,Q2 (Apr - Jun),28696,133025
Nagaland,2019,Q2 (Apr - Jun),66891,362497
Odisha,2019,Q2 (Apr - Jun),4845359,33955545
Puducherry,2019,Q2 (Apr - Jun),156458,661932
Punjab,2019,Q2 (Apr - Jun),2600112,10928094
Rajasthan,2019,Q2 (Apr - Jun),8783935,62787336
Sikkim,2019,Q2 (Apr - Jun),70999,398520
Tamil Nadu,2019,Q2 (Apr - Jun),7429609,33658961
Telangana,2019,Q2 (Apr - Jun),9046007,80842302
Tripura,2019,Q2 (Apr - Jun),217644,953627
Uttar Pradesh,2019,Q2 (Apr - Jun),14316349,78394040
Uttarakhand,2019,Q2 (Apr - Jun),1414339,7454279
West Bengal,2019,Q2 (Apr - Jun),8612795,49514201
Andaman & Nicobar,2019,Q3 (Jul - Sep),23931,171107
Andhra Pradesh,2019,Q3 (Jul - Sep),10458693,310953542
Arunachal Pradesh,2019,Q3 (Jul - Sep),112149,1811700
Assam,2019,Q3 (Jul - Sep),1731523,25393673
Bihar,2019,Q3 (Jul - Sep),7380265,126521298
Chandigarh,2019,Q3 (Jul - Sep),267337,4625196
Chhattisgarh,2019,Q3 (Jul - Sep),2435058,46362341
Dadra and Nagar Haveli and Daman and Diu,2019,Q3 (Jul - Sep),176929,3126189
Delhi,2019,Q3 (Jul - Sep),6782286,163381027
Goa,2019,Q3 (Jul - Sep),317194,4753892
Gujarat,2019,Q3 (Jul - Sep),8429299,129441484
Haryana,2019,Q3 (Jul - Sep),5783752,118332587
Himachal Pradesh,2019,Q3 (Jul - Sep),876184,10720741
Jammu & Kashmir,2019,Q3 (Jul - Sep),658455,3843919
Jharkhand,2019,Q3 (Jul - Sep),2915511,55504460
Karnataka,2019,Q3 (Jul - Sep),13635075,445683660
Kerala,2019,Q3 (Jul - Sep),2990963,31471694
Ladakh,2019,Q3 (Jul - Sep),39173,503126
Lakshadweep,2019,Q3 (Jul - Sep),2117,15038
Madhya Pradesh,2019,Q3 (Jul - Sep),8180664,192353380
Maharashtra,2019,Q3 (Jul - Sep),21313081,439998413
Manipur,2019,Q3 (Jul - Sep),136316,1594205
Meghalaya,2019,Q3 (Jul - Sep),87395,1387814
Mizoram,2019,Q3 (Jul - Sep),34134,457834
Nagaland,2019,Q3 (Jul - Sep),80077,1244022
Odisha,2019,Q3 (Jul - Sep),5387209,130181456
Puducherry,2019,Q3 (Jul - Sep),177868,2476922
Punjab,2019,Q3 (Jul - Sep),2962713,40860886
Rajasthan,2019,Q3 (Jul - Sep),9797304,238338999
